ProductId,ProductName,ProductType,Color,OrderQuantity,Size,Category,Country,Date,PurchasePrice,SellingPrice
3,Bike Lights,Accessory,Blue,57,Medium,Hydration,Sweden,9/15/2020,120.54,239.26
5,Cycling Gloves,Accessory,Red,34,Medium,Hydration,Spain,11/6/2020,88.36,378.51
7,Cycling Jacket,Accessory,Green,51,Large,Hydration,France,7/2/2019,83.99,341.62
3,Bike Lights,Accessory,Yellow,62,Large,Hydration,Spain,11/8/2022,107.99,306.48
4,Water Bottle,Accessory,Green,47,Small,Hydration,Sweden,2/12/2020,83.24,334.79
6,Bike Pump,Accessory,Red,40,Medium,Hydration,Switzerland,5/8/2022,107.18,189.23
6,Bike Pump,Accessory,Yellow,55,Small,Hydration,Spain,3/1/2020,120.52,348.14
2,Bike Bell,Accessory,Red,57,Large,Hydration,Sweden,7/25/2018,146.54,216.3
4,Water Bottle,Accessory,Red,25,Medium,Hydration,Spain,9/2/2021,122.24,237.74
7,Cycling Jacket,Accessory,Green,41,Large,Hydration,Italy,8/23/2021,83.86,315.49
7,Cycling Jacket,Accessory,Red,59,Large,Hydration,Sweden,1/11/2022,88,212.08
1,Bike Lock,Accessory,Yellow,40,Small,Hydration,Italy,4/11/2019,113.12,378.26
7,Cycling Jacket,Accessory,Red,65,Small,Hydration,United Kingdom,12/7/2018,120.39,152.64
3,Bike Lights,Accessory,Yellow,28,Large,Hydration,Germany,10/26/2018,79.34,228.08
6,Bike Pump,Accessory,Blue,36,Medium,Hydration,Switzerland,11/19/2022,67,146.72
5,Cycling Gloves,Accessory,Red,34,Medium,Hydration,United Kingdom,7/30/2020,73.22,300.42
3,Bike Lights,Accessory,Yellow,68,Large,Hydration,United Kingdom,12/9/2019,104.66,145.31
3,Bike Lights,Accessory,Red,54,Small,Hydration,Sweden,2/27/2020,134.53,179.78
4,Water Bottle,Accessory,Red,61,Large,Hydration,United Kingdom,12/3/2021,85.9,206.36
4,Water Bottle,Accessory,Yellow,42,Medium,Hydration,France,5/13/2022,50.81,362.89
7,Cycling Jacket,Accessory,Green,39,Large,Hydration,Germany,7/27/2021,110.71,221.89
7,Cycling Jacket,Accessory,Green,67,Medium,Hydration,France,7/18/2018,118.09,162.61
1,Bike Lock,Accessory,Yellow,62,Small,Hydration,Netherlands,8/28/2019,86.49,161.14
2,Bike Bell,Accessory,Blue,33,Medium,Hydration,United Kingdom,1/20/2020,128.65,366.03
7,Cycling Jacket,Accessory,Red,55,Medium,Hydration,Netherlands,11/18/2022,146.74,206.16
1,Bike Lock,Accessory,Green,34,Small,Hydration,Switzerland,10/17/2021,125.42,187.04
7,Cycling Jacket,Accessory,Green,50,Large,Hydration,Netherlands,7/20/2020,51.39,272.56
4,Water Bottle,Accessory,Red,65,Large,Hydration,Sweden,4/24/2019,144.03,154.8
5,Cycling Gloves,Accessory,Green,45,Large,Hydration,Sweden,5/10/2018,141.53,185.88
4,Water Bottle,Accessory,Red,32,Small,Hydration,Sweden,9/16/2019,63.98,385.22
2,Bike Bell,Accessory,Blue,59,Medium,Hydration,Switzerland,10/5/2021,63.57,249.75
6,Bike Pump,Accessory,Green,31,Small,Hydration,France,7/27/2019,133.37,294.3
4,Water Bottle,Accessory,Green,53,Small,Hydration,Netherlands,7/23/2018,145.06,360.25
4,Water Bottle,Accessory,Red,42,Large,Hydration,Sweden,10/3/2022,68.98,158.59
2,Bike Bell,Accessory,Blue,66,Small,Hydration,Netherlands,4/14/2018,113.95,392.05
7,Cycling Jacket,Accessory,Blue,61,Small,Hydration,Germany,2/9/2021,70.52,353.2
3,Bike Lights,Accessory,Blue,34,Large,Hydration,Spain,7/22/2019,128.86,288.89
3,Bike Lights,Accessory,Green,36,Small,Hydration,France,9/27/2018,60.99,363.27
5,Cycling Gloves,Accessory,Red,45,Large,Hydration,Switzerland,9/17/2018,51.58,197.98
1,Bike Lock,Accessory,Yellow,55,Large,Hydration,Italy,4/30/2021,94.83,224.56
2,Bike Bell,Accessory,Yellow,64,Large,Hydration,United Kingdom,11/11/2022,54.34,340.39
1,Bike Lock,Accessory,Yellow,28,Large,Hydration,Italy,5/23/2020,149.86,358.01
4,Water Bottle,Accessory,Blue,29,Medium,Hydration,Italy,10/31/2018,139.93,213.58
5,Cycling Gloves,Accessory,Yellow,65,Large,Hydration,United Kingdom,2/20/2020,108.54,320.84
5,Cycling Gloves,Accessory,Yellow,52,Medium,Hydration,Germany,10/13/2022,59.92,317.99
2,Bike Bell,Accessory,Green,51,Medium,Hydration,Italy,5/1/2020,83.89,249.71
3,Bike Lights,Accessory,Red,67,Small,Hydration,Sweden,11/7/2021,75.49,387.24
7,Cycling Jacket,Accessory,Blue,30,Large,Hydration,Netherlands,2/22/2022,59.32,151.56
1,Bike Lock,Accessory,Yellow,62,Medium,Hydration,Italy,10/4/2021,145.66,279.46
7,Cycling Jacket,Accessory,Green,67,Large,Hydration,France,1/16/2022,144.11,241.31
3,Bike Lights,Accessory,Blue,47,Small,Hydration,Sweden,11/13/2018,60.36,264.54
3,Bike Lights,Accessory,Yellow,60,Large,Hydration,Germany,3/21/2021,86.76,334.72
7,Cycling Jacket,Accessory,Red,64,Small,Hydration,United Kingdom,2/23/2018,111.36,301.74
3,Bike Lights,Accessory,Blue,69,Small,Hydration,France,12/20/2019,126.24,378.42
5,Cycling Gloves,Accessory,Red,67,Large,Hydration,France,7/20/2021,90.08,164.02
5,Cycling Gloves,Accessory,Green,38,Large,Hydration,Netherlands,11/19/2018,87.62,249.75
3,Bike Lights,Accessory,Red,61,Large,Hydration,Spain,11/15/2018,109.62,367.92
1,Bike Lock,Accessory,Yellow,42,Medium,Hydration,Sweden,5/28/2021,94.31,241.6
2,Bike Bell,Accessory,Green,57,Small,Hydration,Sweden,8/4/2019,61.38,243.23
2,Bike Bell,Accessory,Blue,50,Small,Hydration,United Kingdom,2/23/2019,148.44,140.07
7,Cycling Jacket,Accessory,Blue,41,Small,Hydration,Switzerland,10/15/2020,78.94,158
4,Water Bottle,Accessory,Red,59,Medium,Hydration,Netherlands,9/3/2022,120.37,262.57
7,Cycling Jacket,Accessory,Yellow,27,Large,Hydration,Netherlands,6/9/2018,93.62,251.43
4,Water Bottle,Accessory,Green,70,Small,Hydration,France,4/9/2020,114.01,204.62
7,Cycling Jacket,Accessory,Yellow,64,Small,Hydration,Italy,1/12/2020,96.01,314.64
2,Bike Bell,Accessory,Green,52,Small,Hydration,United Kingdom,3/21/2020,108.89,269.09
3,Bike Lights,Accessory,Green,35,Medium,Hydration,Germany,12/22/2020,57.64,299.14
6,Bike Pump,Accessory,Blue,66,Small,Hydration,United Kingdom,10/27/2018,131.5,189.97
5,Cycling Gloves,Accessory,Yellow,34,Large,Hydration,Sweden,12/29/2018,126.02,305.26
7,Cycling Jacket,Accessory,Green,62,Small,Hydration,Netherlands,3/2/2021,94.89,379.14
4,Water Bottle,Accessory,Red,29,Medium,Hydration,United Kingdom,6/19/2022,96.89,298.63
5,Cycling Gloves,Accessory,Green,29,Small,Hydration,Netherlands,4/27/2018,81.04,249.28
6,Bike Pump,Accessory,Yellow,30,Large,Hydration,France,8/5/2020,111.5,264.44
6,Bike Pump,Accessory,Yellow,37,Small,Hydration,France,11/5/2018,82.15,255.8
7,Cycling Jacket,Accessory,Red,46,Small,Hydration,Spain,8/16/2021,148.24,148.19
6,Bike Pump,Accessory,Green,53,Medium,Hydration,Spain,6/2/2021,149.1,269.12
3,Bike Lights,Accessory,Green,49,Small,Hydration,France,5/9/2021,90.88,218.05
3,Bike Lights,Accessory,Green,31,Small,Hydration,Spain,6/1/2019,105.8,231.31
5,Cycling Gloves,Accessory,Blue,67,Large,Hydration,Switzerland,9/5/2021,64.14,221.2
6,Bike Pump,Accessory,Blue,30,Large,Hydration,Netherlands,6/10/2022,80.96,228.59
6,Bike Pump,Accessory,Green,68,Small,Hydration,Switzerland,10/5/2021,141.24,150.7
3,Bike Lights,Accessory,Blue,44,Small,Hydration,Sweden,4/19/2022,68.03,183.9
2,Bike Bell,Accessory,Green,34,Large,Hydration,France,7/27/2018,57.72,357.22
2,Bike Bell,Accessory,Yellow,63,Small,Hydration,Spain,8/30/2022,87.67,169.62
4,Water Bottle,Accessory,Yellow,48,Small,Hydration,United Kingdom,6/28/2020,117.64,190.32
5,Cycling Gloves,Accessory,Green,40,Large,Hydration,Germany,8/18/2020,80.95,347.37
5,Cycling Gloves,Accessory,Blue,53,Small,Hydration,Switzerland,2/22/2020,96.17,202.49
7,Cycling Jacket,Accessory,Green,63,Large,Hydration,Sweden,8/6/2021,63.84,193.75
1,Bike Lock,Accessory,Blue,70,Medium,Hydration,Italy,8/7/2019,134.59,359.07
4,Water Bottle,Accessory,Green,57,Small,Hydration,Sweden,3/31/2019,64.73,245.3
4,Water Bottle,Accessory,Green,28,Small,Hydration,Italy,3/1/2020,89.65,227.84
1,Bike Lock,Accessory,Blue,45,Small,Hydration,Netherlands,8/24/2021,143.08,355.77
1,Bike Lock,Accessory,Yellow,43,Medium,Hydration,Spain,8/30/2022,141.74,254.93
5,Cycling Gloves,Accessory,Yellow,25,Small,Hydration,Spain,3/18/2019,140.59,130.23
7,Cycling Jacket,Accessory,Yellow,43,Small,Hydration,Switzerland,5/4/2019,73.76,158.51
1,Bike Lock,Accessory,Blue,56,Medium,Hydration,Germany,11/21/2020,109.67,129.52
4,Water Bottle,Accessory,Red,25,Large,Hydration,Spain,5/3/2020,111.48,191.16
3,Bike Lights,Accessory,Yellow,29,Medium,Hydration,France,5/30/2022,145.34,274.62
1,Bike Lock,Accessory,Green,65,Small,Hydration,France,3/11/2022,88.69,227.66
3,Bike Lights,Accessory,Blue,40,Small,Hydration,Netherlands,4/30/2022,123.29,297.77
3,Bike Lights,Accessory,Yellow,59,Large,Hydration,Sweden,8/28/2022,83.85,301.77
2,Bike Bell,Accessory,Green,33,Small,Hydration,France,7/26/2020,56.31,338.45
1,Bike Lock,Accessory,Yellow,37,Medium,Hydration,Switzerland,9/28/2019,138.58,211.79
1,Bike Lock,Accessory,Green,66,Medium,Hydration,France,5/19/2022,69.11,223.17
1,Bike Lock,Accessory,Green,48,Small,Hydration,Switzerland,6/19/2020,93.7,235.01
4,Water Bottle,Accessory,Red,69,Large,Hydration,United Kingdom,11/29/2020,99.75,379.19
4,Water Bottle,Accessory,Green,30,Small,Hydration,United Kingdom,1/5/2019,93.06,398.65
1,Bike Lock,Accessory,Blue,45,Large,Hydration,Switzerland,5/19/2021,116.09,209.29
4,Water Bottle,Accessory,Green,47,Large,Hydration,Switzerland,12/24/2019,94.71,324.87
7,Cycling Jacket,Accessory,Red,28,Small,Hydration,Spain,1/15/2020,57.5,300.32
7,Cycling Jacket,Accessory,Blue,63,Large,Hydration,Italy,9/16/2018,117.81,245.5
3,Bike Lights,Accessory,Yellow,48,Medium,Hydration,Spain,5/24/2021,88.29,280.99
3,Bike Lights,Accessory,Yellow,53,Medium,Hydration,Netherlands,12/20/2020,126.31,282.83
6,Bike Pump,Accessory,Yellow,42,Large,Hydration,Spain,2/15/2022,74.96,156.2
4,Water Bottle,Accessory,Blue,60,Large,Hydration,Sweden,12/12/2021,61.78,338.12
3,Bike Lights,Accessory,Red,69,Medium,Hydration,Spain,9/9/2018,141.65,260.08
2,Bike Bell,Accessory,Green,70,Large,Hydration,Netherlands,10/28/2021,94.51,149.14
1,Bike Lock,Accessory,Blue,60,Medium,Hydration,Spain,10/10/2022,104.22,370.12
5,Cycling Gloves,Accessory,Yellow,39,Small,Hydration,Germany,10/12/2018,62.14,180.27
3,Bike Lights,Accessory,Red,60,Small,Hydration,Spain,2/3/2021,107.23,253.54
3,Bike Lights,Accessory,Yellow,50,Large,Hydration,Switzerland,12/12/2020,149.96,322.69
1,Bike Lock,Accessory,Green,33,Small,Hydration,Sweden,7/10/2020,147.24,301.64
7,Cycling Jacket,Accessory,Red,60,Small,Hydration,Switzerland,9/22/2018,113.98,175.04
5,Cycling Gloves,Accessory,Green,34,Large,Hydration,Germany,12/23/2021,80.41,169.54
3,Bike Lights,Accessory,Blue,30,Large,Hydration,United Kingdom,2/2/2021,75.06,299.64
3,Bike Lights,Accessory,Blue,64,Large,Hydration,Spain,12/12/2018,103.35,263.21
5,Cycling Gloves,Accessory,Red,63,Small,Hydration,France,3/26/2018,83.76,379.08
6,Bike Pump,Accessory,Red,61,Medium,Hydration,Switzerland,3/17/2021,76.47,182.97
6,Bike Pump,Accessory,Yellow,59,Medium,Hydration,Germany,9/16/2020,78.97,388.08
4,Water Bottle,Accessory,Yellow,29,Small,Hydration,Sweden,5/1/2020,118.86,168.47
3,Bike Lights,Accessory,Yellow,63,Small,Hydration,Netherlands,10/16/2019,64.37,361.91
7,Cycling Jacket,Accessory,Red,48,Medium,Hydration,Sweden,5/11/2019,101.5,154.2
4,Water Bottle,Accessory,Blue,40,Small,Hydration,Switzerland,2/26/2020,64.09,138.92
7,Cycling Jacket,Accessory,Yellow,45,Large,Hydration,Spain,1/24/2019,143.38,323.31
4,Water Bottle,Accessory,Yellow,56,Small,Hydration,Switzerland,7/4/2018,137.91,261.78
2,Bike Bell,Accessory,Green,62,Large,Hydration,Sweden,10/10/2020,85.29,138.9
1,Bike Lock,Accessory,Yellow,31,Medium,Hydration,Netherlands,1/29/2022,93.09,367.68
1,Bike Lock,Accessory,Red,50,Medium,Hydration,United Kingdom,1/13/2020,55.12,279.5
5,Cycling Gloves,Accessory,Blue,53,Small,Hydration,Italy,6/30/2021,126.44,201.92
4,Water Bottle,Accessory,Blue,48,Large,Hydration,Spain,1/19/2020,129.49,218.25
5,Cycling Gloves,Accessory,Yellow,50,Large,Hydration,Netherlands,10/8/2018,100.01,137.46
4,Water Bottle,Accessory,Blue,34,Medium,Hydration,Netherlands,11/3/2019,110.63,266.76
5,Cycling Gloves,Accessory,Green,44,Medium,Hydration,Sweden,11/9/2020,109.37,264.51
7,Cycling Jacket,Accessory,Red,26,Large,Hydration,United Kingdom,5/3/2020,86.84,310.3
4,Water Bottle,Accessory,Red,41,Large,Hydration,Germany,5/9/2022,146.71,340.3
4,Water Bottle,Accessory,Blue,35,Large,Hydration,Switzerland,5/6/2022,102.42,323.33
2,Bike Bell,Accessory,Yellow,27,Medium,Hydration,France,1/26/2019,107.26,317.64
4,Water Bottle,Accessory,Red,34,Large,Hydration,Sweden,10/24/2020,91.3,181.07
2,Bike Bell,Accessory,Yellow,58,Medium,Hydration,Sweden,9/18/2021,70.73,214.39
2,Bike Bell,Accessory,Yellow,54,Small,Hydration,United Kingdom,12/27/2019,141.21,219.14
2,Bike Bell,Accessory,Blue,42,Large,Hydration,United Kingdom,9/2/2019,105.81,186.84
6,Bike Pump,Accessory,Green,56,Small,Hydration,United Kingdom,6/17/2022,81.7,220.92
5,Cycling Gloves,Accessory,Blue,68,Medium,Hydration,Netherlands,3/19/2020,104.32,371.33
1,Bike Lock,Accessory,Yellow,43,Small,Hydration,United Kingdom,6/24/2020,145.53,146.73
2,Bike Bell,Accessory,Red,59,Large,Hydration,Spain,7/11/2019,77.11,279.55
6,Bike Pump,Accessory,Blue,62,Small,Hydration,Germany,12/23/2020,73.93,138.96
1,Bike Lock,Accessory,Red,51,Large,Hydration,Spain,10/27/2021,83.03,254.91
2,Bike Bell,Accessory,Blue,51,Medium,Hydration,Sweden,9/1/2020,115.29,367.18
3,Bike Lights,Accessory,Red,43,Small,Hydration,Germany,7/3/2018,114.59,374.68
4,Water Bottle,Accessory,Yellow,36,Small,Hydration,Switzerland,9/9/2022,143.39,134.99
6,Bike Pump,Accessory,Green,43,Medium,Hydration,Italy,3/9/2021,137.67,127.55
4,Water Bottle,Accessory,Green,66,Small,Hydration,Sweden,10/2/2018,104.33,260.83
7,Cycling Jacket,Accessory,Blue,32,Small,Hydration,United Kingdom,8/20/2021,83.07,326.06
6,Bike Pump,Accessory,Blue,46,Large,Hydration,Germany,3/31/2022,129.08,281.14
7,Cycling Jacket,Accessory,Red,65,Medium,Hydration,Netherlands,11/21/2020,139.7,352.42
6,Bike Pump,Accessory,Red,31,Medium,Hydration,Germany,10/25/2019,68.48,163.67
